split_index,young_young,young_old,old_young,old_old,model,regress_out_age,weight_exponent
0,0.8006241607599475,0.7704966849248397,0.77901916136924,0.7710413260158333,gb,True,0.0
1,0.7919025998759979,0.7715591081153622,0.7760008915555234,0.7788283357115648,gb,True,0.0
2,0.8036305348450486,0.7558334194638018,0.7969866550641924,0.7733615183061193,gb,True,0.0
3,0.797656019656699,0.7664868826446752,0.7821752219785167,0.7757963536811847,gb,True,0.0
4,0.7992520171814314,0.7751970665882545,0.790321372169974,0.7900501941003387,gb,True,0.0
5,0.7973634668476484,0.7719084299903137,0.7897301160095466,0.7841565773027441,gb,True,0.0
6,0.8047500338736031,0.7689001267258802,0.7910538795658446,0.7829574350393655,gb,True,0.0
7,0.8000341387171424,0.7656571750895924,0.7909236592704872,0.7771788272147113,gb,True,0.0
8,0.8067985675230007,0.7741342595886999,0.7952177717284283,0.781674642425105,gb,True,0.0
9,0.8050359894160377,0.7740109330652971,0.7896046558298212,0.7775707818951456,gb,True,0.0
